Date,Added,Added,Removed,Removed,Reason
"March 24, 2025",FRPT,Freshpet,FLGT,Fulgent Genetics,FRPT replaced FLGT as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",WSC,WillScot Holdings Corp.,NBR,Nabors Industries,WSC replaced NBR as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",MWA,Mueller Water Products,GPRE,Green Plains Inc.,MWA replaced GPRE as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",KTOS,Kratos Defense & Security Solutions,MATV,Mativ Holdings,KTOS replaced MATV as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",CLSK,CleanSpark,HAIN,Hain Celestial Group,CLSK replaced HAIN as it was no longer representative of the small-cap market space.[8]
"February 25, 2025",SNDK,SanDisk,LESL,Leslie's,SNDK was spun off from Western Digital and replaced LESL which was no longer representative of the small-cap market space.[9]
"February 19, 2025",KAI,Kadant,NARI,Inari Medical,KAI replaced NARI after it was acquired by Stryker Corporation.[10]
"February 13, 2025",GOLF,Acushnet Company,ROIC,Retail Opportunity Investments,GOLF replaced ROIC after it was acquired by Blackstone Inc.[11]
"February 10, 2025",MRP,Millrose Properties,IRWD,Ironwood Pharmaceuticals,MRP was spun off from Lennar and replaced IRWD which was no longer representative of the small-cap market space.[12]
"January 27, 2025",ARWR,Arrowhead Pharmaceuticals,B,Barnes Group,B was acquired by Apollo Global Management. ARWR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[13]
"January 14, 2025",ENOV,Enovis,ARCH,Arch Resources,"ARCH was acquired by Consol Energy. Following completion of the merger, Consol Energy will be renamed Core Natural Resources Inc., and its ticker will change to CNR. ENOV was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[14]"
"January 3, 2025",ACAD,Acadia Pharmaceuticals,IBTX,Independent Bank Group,ACAD replaced IBTX after it was acquired by SouthState Bank.[15]
"January 2, 2025",GDYN,Grid Dynamics Holdings,GEAR,Revelyst,GDYN replaced GEAR after it was acquired by Strategic Value Partners.[16]
"December 30, 2024",INSW,International Seaways,CNSL,Consolidated Communications,INSW replaced CNSL after it was acquired by British Columbia Investment Management Corporation and Searchlight Capital.[17]
"December 23, 2024",QRVO,Qorvo,KELYA,Kelly Services,QRVO was moved from the S&P 500 as it was more representative of the small cap market space. KELYA was removed from the S&P 600 as it was no longer representative of the small-cap market space.[18]
"December 23, 2024",AMTM,Amentum,SVC,Service Properties Trust,AMTM was moved from the S&P 500 as it was more representative of the small cap market space. SVC was removed from the S&P 600 as it was no longer representative of the small-cap market space.[18]
"December 23, 2024",VSH,Vishay Intertechnology,CMA,Comerica,VSH was moved from the S&P 400 as it was more representative of the small cap market space. CMA was moved to the S&P 400 as it was more representative of the mid-cap market space.[18]
"December 23, 2024",CRI,Carter's,CRS,Carpenter Technology,CRI was moved from the S&P 400 as it was more representative of the small cap market space. CRS was moved to the S&P 400 as it was more representative of the mid-cap market space.[18]
"December 23, 2024",TRNO,Terreno Realty,HPP,Hudson Pacific Properties,TRNO replaced HPP as it was no longer representative of the small-cap market space.[18]
"December 23, 2024",SKY,Champion Homes,RGNX,REGENXBIO,SKY replaced RGNX as it was no longer representative of the small-cap market space.[18]
"November 27, 2024",CON,Concentra Group Holdings,MYE,Myers Industries,CON replaced MYE as it was no longer representative of the small-cap market space.[19]
"November 26, 2024",AESI,Atlas Energy Solutions,MLI,Mueller Industries,"AESI replaced MLI, which replaced Texas Pacific Land Corporation in the S&P 400 after it was moved to the S&P 500.[20]"
"November 25, 2024",DFH,Dream Finders Homes,HAYN,Haynes International,DFH replaced HAYN after it was acquired by Acerinox.[21]
"November 25, 2024",AZTA,Azenta,ENV,Envestnet,ENV was acquired by Bain Capital. AZTA was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[19]
"November 4, 2024",ECG,Everus Construction Group,CLW,Clearwater Paper Corporation,ECG was spun off from MDU Resources and replaced CLW which was no longer representative of the small-cap market space.[22]
"October 11, 2024",MDU,MDU Resources,CHUY,Chuy's,CHUY was acquired by Darden Restaurants. MDU was moved from the S&P 400 to replace it as it announced its intention to spin-off a company at a later date.[23]
"October 9, 2024",HIMS,Hims & Hers Health,VGR,Vector Group,HIMS replaced VGR after it was acquired by JT Group.[24]
"October 4, 2024",CRGY,Crescent Energy Company,PRFT,Perficient,CRGY replaced PRFT after it was acquired by EQT AB.[25]
"October 1, 2024",CURB,Curbline Properties,CCRN,Cross Country Healthcare,CURB was spun off from SITE Centers and replaced CCRN which was no longer representative of the small-cap market space.[26]
"October 1, 2024",TMDX,TransMedics Group,ENSG,Ensign Group,"TMDX replaced ENSG, which replaced Southwestern Energy in the S&P 400 after it was acquired by Chesapeake Energy.[26]"
"October 1, 2024",BBWI,"Bath & Body Works, Inc.",MOV,Movado,BBWI was moved from the S&P 500 as it was more representative of the small cap market space. MOV was removed from the S&P 600 as it was no longer representative of the small-cap market space.[27]
"September 23, 2024",ETSY,Etsy,HVT,Havertys,ETSY was moved from the S&P 500 as it was more representative of the small cap market space. HVT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",TGNA,Tegna Inc.,DBI,Designer Brands,TGNA was moved from the S&P 400 as it was more representative of the small cap market space. DBI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",ZD,Ziff Davis,FN,Fabrinet,ZD was moved from the S&P 400 as it was more representative of the small cap market space. FN was moved to the S&P 400 as it was more representative of the mid-cap market space.[28]
"September 23, 2024",MP,MP Materials,CVGW,"Calavo Growers, Inc.",MP was moved from the S&P 400 as it was more representative of the small cap market space. CVGW was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",PGNY,Progyny,EHAB,Enhabit,PGNY was moved from the S&P 400 as it was more representative of the small cap market space. EHAB was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",ADNT,Adient,MERC,Mercer International,ADNT was moved from the S&P 400 as it was more representative of the small cap market space. MERC was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",WOLF,Wolfspeed,CMP,Compass Minerals,WOLF was moved from the S&P 400 as it was more representative of the small cap market space. CMP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",HELE,Helen of Troy Limited,DDD,3D Systems Corporation,HELE was moved from the S&P 400 as it was more representative of the small cap market space. DDD was removed from the S&P 600 as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",ZWS,Zurn Elkay Water Solutions,CHCT,Community Healthcare Trust,ZWS replaced CHCT as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",YOU,Clear Secure,VREX,Varex Imaging,YOU replaced VREX as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",TGTX,TG Therapeutics,DIN,Dine Brands Global,TGTX replaced DIN as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",INSP,Inspire Medical Systems,NUS,Nu Skin Enterprises,INSP replaced NUS as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",CSWI,CSW Industrials,AMCX,AMC Networks,CSWI replaced AMCX as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",ADMA,ADMA Biologics,ZEUS,Olympic Steel,ADMA replaced ZEUS as it was no longer representative of the small-cap market space.[28]
"September 23, 2024",PI,Impinj,RILY,B. Riley Financial,PI replaced RILY as it was no longer representative of the small-cap market space.[28]
"August 9, 2024",SWI,SolarWinds,SPWR,SunPower,SWI replaced SPWR after it filed for Chapter 11 bankruptcy and is no longer eligible for continued inclusion in the S&P 600.[29]
"July 31, 2024",SNDR,Schneider National,SLCA,U.S. Silica Holdings,SNDR replaced SLCA after it was acquired by Apollo Global Management.[30]
"July 26, 2024",QDEL,QuidelOrtho,HIBB,Hibbett Sports,HIBB was acquired by JD Sports. QDEL was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[30]
"July 22, 2024",GTES,Gates Corporation,ANF,Abercrombie & Fitch Company,"GTES replaced ANF, which replaced Equitrans Midstream in the S&P 400 after it was acquired by EQT Corporation.[31]"
"July 3, 2024",PTGX,Protagonist Therapeutics,WIRE,Encore Wire Corporation,PTGX replaced WIRE after it was acquired by Prysmian Group.[32]
"June 24, 2024",CMA,Comerica,ADTN,ADTRAN,CMA was moved from the S&P 500 as it was more representative of the small cap market space. ADTN was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",RHI,Robert Half,HOUS,Anywhere Real Estate,RHI was moved from the S&P 500 as it was more representative of the small cap market space. HOUS was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",LEG,Leggett & Platt,MEI,Methode Electronics,LEG was moved from the S&P 400 as it was more representative of the small cap market space. MEI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",HTZ,Hertz,CLDT,Chatham Lodging Trust,HTZ was moved from the S&P 400 as it was more representative of the small cap market space. CLDT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",GO,Grocery Outlet,NFBK,"Northfield Bancorp,",GO was moved from the S&P 400 as it was more representative of the small cap market space. NFBK was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",PENN,Penn Entertainment,XPER,Xperi,PENN was moved from the S&P 400 as it was more representative of the small cap market space. XPER was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",IART,Integra Lifesciences,RGP,Resources Connection,IART was moved from the S&P 400 as it was more representative of the small cap market space. RGP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",WERN,Werner Enterprises,ATNI,ATN International,WERN was moved from the S&P 400 as it was more representative of the small cap market space. ATNI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",KRYS,Krystal Biotech,OSUR,OraSure Technologies,KRYS replaced OSUR as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",VIRT,Virtu Financial,MCS,Marcus Corporation,VIRT replaced MCS as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",STEP,StepStone Group,TTEC,TTEC Holdings,STEP replaced TTEC as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",WHD,Cactus,MED,Medifast,WHD replaced MED as it was no longer representative of the small-cap market space.[33]
"June 24, 2024",TDW,Tidewate,CRNC,Cerence,TDW replaced CRNC as it was no longer representative of the small-cap market space.[33]
"May 8, 2024",MARA,Marathon Digital,AAON,AAON,"MARA replaced AAON, which replaced Vistra Corp in the S&P 400 after it was moved to the S&P 500.[34]"
"May 7, 2024",DOCN,DigitalOcean,AGTI,Agiliti,DOCN replaced AGTI after it was acquired by Thomas H. Lee Partners.[35]
"May 6, 2024",IAC,IAC Inc.,AEL,American Equity Investment Life Holding Co.,IAC replaced AEL after it was acquired by Brookfield Reinsurance.[36]
"April 23, 2024",CNS,Cohen & Steers,KAMN,Kaman Corporation,CNS replaced KAMN after it was acquired by Arcline Investment Management.[37]
"April 22, 2024",CABO,Cable One,MDC,MDC Holdings,MDC was acquired by Sekisui House. CABO was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[38]
"April 3, 2024",VFC,VF Corporation,MODV,ModivCare,VFC was moved from the S&P 500 as it was more representative of the small cap market space. MODV was removed from the S&P 600 as it was no longer representative of the small-cap market space.[39]
"April 3, 2024",FOXF,Fox Factory,SSP,E. W. Scripps Company,FOXF was moved from the S&P 400 as it was more representative of the small cap market space. SSP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[39]
"April 1, 2024",RUN,Sunrun,PGTI,PGT Innovations,PGTI was acquired by MITER Brands. RUN was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [40]
"April 1, 2024",NARI,Inari Medical,CPE,Callon Petroleum,CPE was acquired by APA Corporation. NARI was moved from the S&P 400 to replace it as it was more representative of the small cap market space. [41]
"March 18, 2024",CALX,"Calix, Inc.",CYTK,Cytokinetics,CALX was moved from the S&P 400 as it was more representative of the small cap market space. CYTK was moved to the S&P 400 as it was more representative of the mid-cap market space. [42]
"March 18, 2024",MPW,Medical Properties Trust,AIT,Applied Industrial Technologies,MPW was moved from the S&P 400 as it was more representative of the small cap market space. AIT was moved to the S&P 400 as it was more representative of the mid-cap market space. [42]
"March 18, 2024",MGY,Magnolia Oil & Gas,CRMT,Americas Carmart,MGY replaced CRMT as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",AL,Air Lease Corporation,TBI,TrueBlue,AL replaced TBI as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",BOX,"Box, Inc.",FORR,Forrester Research,BOX replaced FORR as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",BGC,BGC Group,OIS,Oil States International,BGC replaced OIS as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",BL,BlackLine Systems,APPS,Digital Turbine,BL replaced APPS as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",ARCH,Arch Resources,CCSI,Consensus Cloud Solutions,ARCH replaced CCSI as it was no longer representative of the small-cap market space. [42]
"March 18, 2024",MGEE,MGE Energy,IRBT,iRobot,MGEE replaced IRBT as it was no longer representative of the small-cap market space. [42]
"March 4, 2024",CXM,Sprinklr,MDRX,Veradigm,CXM replaced MDRX after it was suspended from the Nasdaq Stock Market due to non-compliance with listing rules and is no longer eligible for continued inclusion in the S&P 600. [43]
"January 23, 2024",BTU,Peabody Energy,ELF,"e.l.f. Beauty, Inc.","BTU replaced ELF, which replaced Spirit Realty Capital in the S&P 400 after it was acquired by Realty Income.[44]"
"January 5, 2024",PDCO,Patterson Companies,CHS,Chico's FAS,CHS was acquired by Sycamore Partners. PDCO was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[45]
"January 2, 2024",SATS,EchoStar,DISH,Dish Network,SATS replaced DISH after it acquired the company.[46]
"January 2, 2024",VYX,NCR Voyix,LTHM,Livent Corp.,"LTHM was merged with Allkem. The combined company, renamed Arcadium Lithium, will have a projected total market capitalization that is more representative of the mid-cap market space. VYX was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[47]"
"January 2, 2024",RUSHA,Rush Enterprises,RPT,RPT Realty,RUSHA replaced RPT after it was acquired by Kimco Realty.[47]
"December 18, 2023",SEE,Sealed Air,OFIX,Orthofix Medical,SEE was moved from the S&P 500 as it was more representative of the small cap market space. OFIX was moved to the S&P 400 as it was more representative of the mid-cap market space.[48]
"December 18, 2023",ALSK,Alaska Air Group,RMBS,Rambus,ALSK was moved from the S&P 500 as it was more representative of the small cap market space. RMBS was moved to the S&P 400 as it was more representative of the mid-cap market space.[48]
"December 18, 2023",SEDG,SolarEdge,FIX,Comfort Systems USA,SEDG was moved from the S&P 500 as it was more representative of the small cap market space. FIX was removed from the S&P 600 as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",MODG,Topgolf Callaway Brands,CLFD,Clearfield,MODG was moved from the S&P 400 as it was more representative of the small cap market space. CLFD was removed from the S&P 600 as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",VSTS,Vestis,OSPN,OneSpan,VSTS was moved from the S&P 400 as it was more representative of the small cap market space. OSPN was removed from the S&P 600 as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",ALKS,Alkermes,CYH,"Community Health Systems, Inc.",ALKS replaced CYH as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",AWI,Armstrong World Industries,IVR,Invesco Mortgage Capital,AWI replaced IVR as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",NHC,National Healthcare,CDMO,Avid Bioservices,NHC replaced CDMO as it was no longer representative of the small-cap market space.[48]
"December 18, 2023",PJT,PJT Partners,JRVR,James River Group Holdings,PJT replaced JRVR as it was no longer representative of the small-cap market space.[48]
"December 4, 2023",WS,Worthington Steel,SNBR,Sleep Number,"WS was spun off from Worthington Industries, and replaced SNBR which was no longer representative of the small-cap market space. Post spin-off Worthington Industries was renamed Worthington Enterprises.[49]"
"November 30, 2023","CWEN, CWEN.A","Clearway, Inc.",VRTV,Veritiv,"CWEN replaced VRTV after it was acquired by Clayton, Dubilier & Rice.[50]"
"November 30, 2023",WOR,Worthington Industries,AVTA,Avantax,"AVTA was acquired by Aretec Group, Inc. WOR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[50]"
"November 30, 2023",ICUI,ICU Medical,PACW,PacWest Bancorp,PACW was acquired by Banc of California. ICUI was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[50]
"November 13, 2023",ACIW,ACI Worldwide,NXGN,NextGen Healthcare,NXGN was acquired by Thoma Bravo. ACIW was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[51]
"November 10, 2023",AMR,Alpha Metallurgical Resources,AVID,Avid Technology,AMR replaced AVID after it was acquired by Symphony Technology Group.[52]
"November 7, 2023",ENV,Envestnet,TWNK,Hostess Brands,TWNK was acquired by The J.M. Smucker Company. ENV was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[53]
"October 20, 2023",VICR,Vicor Corporation,CIR,CIRCOR International,CIR was acquired by KKR & Co. Inc.. VICR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[54]
"October 18, 2023",OGN,Organon & Co.,ONTO,Onto Innovation,OGN was moved from the S&P 500 as it was more representative of the small cap market space. ONTO was moved to the S&P 400 as it was more representative of the mid-cap market space.[55]
"October 18, 2023",NATL,NCR Atleos,ITOS,iTeos Therapeutics,"NATL was spun off from S&P 400 constituent NCR Corporation, renamed NCR Atleos, and replaced iTeos which was no longer representative of the small-cap market space.[56]"
"October 3, 2023",KLG,WK Kellogg Co,AVD,American Vanguard Corporation,"KLG was spun off from S&P 500 constituent Kellogg's, renamed WK Kellogg, and replaced AVD which was no longer representative of the small-cap market space.[57]"
"October 3, 2023",KSS,Kohl's,HA,Hawaiian Holdings,KSS was moved from the S&P 400 as it was more representative of the small cap market space. HA was removed from the S&P 600 as it was no longer representative of the small-cap market space.[57]
"October 3, 2023",DXC,DXC Technology,EBIX,Ebix,DXC was moved from the S&P 500 as it was more representative of the small cap market space. EBIX was removed from the S&P 600 as it was no longer representative of the small-cap market space.[57]
"September 29, 2023",HAYW,Hayward Holdings,CIVI,Civitas Resources,HAYW replaced CIVI which replaced Syneos Health in the S&P 400.[58]
"September 18, 2023",APLE,Apple Hospitality REIT,CPSI,Computer Programs and Systems,Market capitalization change.[59]
"September 18, 2023",LBRT,Liberty Energy,ZYXI,Zynex,Market capitalization change.[59]
"September 18, 2023",BXMT,Blackstone Mortgage Trust,RMAX,RE/MAX,Market capitalization change.[59]
"September 18, 2023",HASI,Hannon Armstrong,FF,FutureFuel,Market capitalization change.[59]
"September 18, 2023",JBLU,JetBlue,ONL,Orion Office REIT,Market capitalization change.[59]
"September 18, 2023",TRIP,TripAdvisor,VNDA,Vanda Pharmaceuticals,Market capitalization change.[59]
"September 18, 2023",HIW,Highwoods Properties,ANGO,AngioDynamics,Market capitalization change.[59]
"September 18, 2023",XRX,Xerox,OPI,Office Properties Income Trust,Market capitalization change.[59]
"September 18, 2023",ENR,Energizer,EGHT,8x8,Market capitalization change.[59]
"September 18, 2023",CATY,Cathay Bank,CHRS,Coherus Biosciences,Market capitalization change.[59]
"September 18, 2023",SXT,Sensient Technologies,NTGR,Netgear,Market capitalization change.[59]
"September 18, 2023",PZZA,Papa John's,AAN,"Aaron's, Inc.",Market capitalization change.[59]
"September 18, 2023",OMCL,Omnicell,TSE,Trinseo,Market capitalization change.[59]
"September 18, 2023",NWL,Newell Brands,UVE,Universal Insurance Holdings,Market capitalization change.[59]
"September 18, 2023",LNC,Lincoln National,QURE,UniQure,Market capitalization change.[59]
"September 1, 2023",JXN,Jackson Financial,NEX,NexTier Oilfield Solutions,JXN replaced NEX after it was acquired by Patterson-UTI.[60]
"September 1, 2023",GSHD,Goosehead Insurance,NUVA,NuVasive,GSHD replaced NUVA after it was acquired by Globus Medical.[60]
"August 25, 2023",AAP,Advance Auto Parts,EBS,Emergent BioSolutions,AAP was moved from the S&P 500 as it was more representative of the small cap market space. EBS was removed from the S&P 600 as it was no longer representative of the small-cap market space.[61]
"August 22, 2023",STAA,Staar Surgical,UBA,Urstadt Biddle Properties,UBA was acquired by Regency Centers. STAA was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[62]
"August 21, 2023",MRCY,Mercury Systems,ARNC,Arconic,ARNC was acquired by Apollo Global Management. MRCY was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[63]
"August 1, 2023",MSGS,Madison Square Garden Sports,AJRD,Aerojet Rocketdyne,MSGS replaced AJRD after it was acquired by L3Harris.[64]
"July 3, 2023",FTRE,Fortrea,SENEA,Seneca Foods,FTRE was spun off from Labcorp and replaced SENEA which was no longer representative of the small-cap market space.[65]
"July 3, 2023",PHIN,PHINIA,LOCO,El Pollo Loco,PHIN was spun off from BorgWarner and replaced LOCO which was no longer representative of the small-cap market space.[65]
"June 23, 2023",ABR,Arbor Realty Trust,ROCC,Ranger Oil,ABR replaced ROCC after it was acquired by Baytex Energy.[66]
"June 19, 2023",DISH,Dish Network,CUTR,"Cutera, Inc.",DISH was moved from the S&P 500 as it was more representative of the small cap market space. CUTR was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",NAVI,Navient,ZUMZ,Zumiez,NAVI was moved from the S&P 400 as it was more representative of the small cap market space. ZUMZ was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",SITM,SiTime,GCO,Genesco,SITM was moved from the S&P 400 as it was more representative of the small cap market space. GCO was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",MAC,Macerich,BOOM,Dynamic Materials Corporation,MAC was moved from the S&P 400 as it was more representative of the small cap market space. BOOM was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",VSCO,Victoria's Secret,GCI,Gannett,VSCO was moved from the S&P 400 as it was more representative of the small cap market space. GCI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",DEI,Douglas Emmett,LPSN,LivePerson,DEI was moved from the S&P 400 as it was more representative of the small cap market space. LPSN was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",FULT,Fulton Financial Corporation,RYAM,Rayonier Advanced Materials,FULT was moved from the S&P 400 as it was more representative of the small cap market space. RYAM was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",NGVT,Ingevity Corp.,PLCE,The Children's Place,NGVT was moved from the S&P 400 as it was more representative of the small cap market space. PLCE was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",SPWR,SunPower,EGRX,"Eagle Pharmaceuticals, Inc.",SPWR was moved from the S&P 400 as it was more representative of the small cap market space. EGRX was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",WLY,John Wiley & Sons,CMTL,Comtech Telecommunications Corp.,WLY was moved from the S&P 400 as it was more representative of the small cap market space. CMTL was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",DAN,Dana Incorporated,PETS,PetMed Express,DAN was moved from the S&P 400 as it was more representative of the small cap market space. PETS was removed from the S&P 600 as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",UFPT,UFP Technologies,BIG,Big Lots,BIG was removed from the S&P 600 and replaced with UFPT as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",SDGR,"Schrödinger, Inc.",CARA,Cara Therapeutics,CARA was removed from the S&P 600 and replaced with SDGR as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",PECO,Phillips Edison & Company,FARO,FARO Technologies,FARO was removed from the S&P 600 and replaced with PECO as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",MC,Moelis & Company,DOUG,Douglas Elliman,DOUG was removed from the S&P 600 and replaced with MC as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",CARG,CarGurus,INGN,Inogen,INGN was removed from the S&P 600 and replaced with CARG as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",CRC,California Resources Corporation,TG,Tredegar Corporation,TG was removed from the S&P 600 and replaced with CRC as it was no longer representative of the small-cap market space.[67]
"June 19, 2023",APAM,Artisan Partners Asset Management,TREE,LendingTree,TREE was removed from the S&P 600 and replaced with APAM as it was no longer representative of the small-cap market space.[67]
"June 14, 2023",EXPI,eXp World Holdings,HSKA,Heska Corporation,"EXPI replaced HSKA after it was acquired by Mars, Incorporated.[68]"
"June 14, 2023",PRVA,Privia Health Group,RUTH,Ruth's Hospitality Group,PRVA replaced RUTH after it was acquired by Darden Restaurants.[68]
"June 1, 2023",BOH,Bank of Hawaii,HMST,HomeStreet Bank,BOH was moved from the S&P 400 as it was more representative of the small cap market space. HMST was removed from the S&P 600 as it was no longer representative of the small-cap market space.[69]
"May 1, 2023",CTKB,Cytek Biosciences,CSII,Cardiovascular Systems,CTKB replaced CSII after it was acquired by Abbott Laboratories.[70]
"April 5, 2023",PACW,PacWest Bancorp,NKTR,Nektar Therapeutics,PACW was moved from the S&P 400 as it was more representative of the small cap market space. NKTR was removed from the S&P 600 as it was no longer representative of the small-cap market space.[71]
"April 3, 2023",NABL,N-able,STAR,iStar,"NABL replaced STAR after it was acquired by Safehold, Inc.[72]"
"March 22, 2023",CERT,Certara,EXPO,Exponent,"CERT replaced EXPO which replaced IAA, Inc. in the S&P 400 after it was acquired by Ritchie Bros. Auctioneers.[73]"
"March 21, 2023",CVI,CVR Energy,AAWW,Atlas Air Worldwide Holdings,CVI replaced AAWW after it was acquired by Apollo Global Management.[73]
"March 20, 2023",LUMN,Lumen Technologies,BBBY,Bed Bath & Beyond,LUMN was moved from the S&P 500 as it was more representative of the small cap market space. BBBY was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
