,Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
338,MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",799292
339,MLAB,Mesa Laboratories Inc,Health Care,Health Care Equipment,"Lakewood, Colorado",724004
340,MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,"Zeeland, Michigan",66382
341,MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,"Calabasas, California",1578732
342,MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,"South Jordan, Utah",856982
343,MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,"Rochester, New York",876427
344,MODG,Topgolf Callaway Brands,Consumer Discretionary,Leisure Products,"Carlsbad, California",837465
346,MP,MP Materials,Materials,Diversified Metals & Mining,"Las Vegas, Nevada",1801368
347,MPW,Medical Properties Trust,Real Estate,Health Care REITs,"Birmingham, Alabama",1287865
348,MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",1049521
349,MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,"Chevy Chase, Maryland",2017206
350,MRTN,Marten Transport Ltd.,Industrials,Cargo Ground Transportation,"Mondovi, Wisconsin",799167
351,MSEX,Middlesex Water Company,Utilities,Water Utilities,"Iselin, New Jersey",66004
352,MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,"New York City, New York",1636519
353,MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",833079
354,MTRN,Materion Corp.,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio",1104657
355,MTUS,Metallus Inc,Materials,Steel,"Canton, Ohio",1598428
356,MTX,Minerals Technologies,Materials,Specialty Chemicals,"New York City, New York",891014
357,MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,"Atlanta, Georgia",1350593
358,MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,"Carlsbad, California",1288469
359,MYGN,"Myriad Genetics, Inc.",Health Care,Biotechnology,"Salt Lake City, Utah",899923
360,MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,"Thornton, Colorado",700923
361,NABL,"N-able, Inc.",Information Technology,Systems Software,"Wilmington, Delaware",1834488
362,NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1974138
363,NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",1593538
364,NBHC,National Bank Holdings Corporation,Financials,Regional Banks,"Greenwood Village, Colorado",1475841
365,NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,"Norwich, New York",790359
366,NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,"Fort Myers, Florida",1077183
367,NEOG,Neogen,Health Care,Health Care Supplies,"Lansing, Michigan",711377
368,NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,"North Charleston, South Carolina",1653477
369,NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,"Murfreesboro, Tennessee",1047335
370,NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Emeryville, California",1547903
371,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,"Minnetonka, Minnesota",1104485
372,NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,"Eau Claire, Wisconsin",80172
373,NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery,"Charlotte, North Carolina",1164863
374,NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,"Tempe, Arizona",932696
375,NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,"Westford, Massachusetts",1078075
376,NVEE,NV5 Global,Industrials,Construction & Engineering,"Hollywood, Florida",1532961
377,NVRI,Enviri Corporation,Industrials,Industrial Machinery,"Philadelphia, Pennsylvania",45876
378,NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,"Warren, Pennsylvania",1471265
379,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",814453
380,NWN,NW Natural,Utilities,Gas Utilities,"Portland, Oregon",1733998
381,NX,Quanex Building Products Corporation,Industrials,Building Products,"Houston, Texas",1423221
382,NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,"Dallas, Texas",1620393
383,NYMT,"New York Mortgage Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",1273685
384,OFG,OFG Bancorp,Financials,Regional Banks,"San Juan, Puerto Rico",1030469
385,OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",1821825
386,OI,"O-I Glass, Inc.",Materials,Metal & Glass Containers,"Perrysburg, Ohio",812074
387,OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",73756
388,OMCL,Omnicell,Health Care,Health Care Technology,"Fort Worth, Texas",926326
389,OMI,"Owens & Minor, Inc.",Health Care,Health Care Distributors,"Mechanicsville, Virginia",75252
390,OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,"Hawthorne, California",1039065
391,OTTR,Otter Tail Corporation,Utilities,Electric Utilities,"Fergus Falls, Minnesota",1466593
392,OUT,Outfront Media,Real Estate,Other Specialized REITs,"New York City, New York",1579877
393,OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",75288
394,PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,"Teaneck, New Jersey",1069899
395,PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,"Houston, Texas",821483
396,PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,"New York City, New York",1845815
397,PATK,"Patrick Industries, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana",76605
398,PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,"Tarrytown, New York",1295947
399,PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,"Stamford, Connecticut",78814
400,PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,"Tampa, Florida",1396814
401,PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Equipment,"Santa Clara, California",1120914
402,PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1474098
403,PECO,Phillips Edison & Company,Real Estate,Retail REITs,"Cincinnati, Ohio",1476204
404,PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",921738
405,PFBC,Preferred Bank,Financials,Regional Banks,"Los Angeles, California",1492165
406,PFS,"Provident Financial Services, Inc.",Financials,Regional Banks,"Jersey City, New Jersey",1178970
407,PGNY,Progyny,Health Care,Health Care Services,"New York City, New York",1551306
408,PHIN,"PHINIA, Inc.",Consumer Discretionary,Automotive Retail,"Auburn Hills, Michigan",1968915
409,PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments,"Seattle, Washington",1114995
410,PINC,"Premier, Inc.",Health Care,Health Care Services,"Charlotte, North Carolina",1577916
411,PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,"Minneapolis, Minnesota",1230245
412,PJT,"PJT Partners, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York",1626115
413,PLAB,"Photronics, Inc.",Information Technology,Semiconductor Equipment,"Brookfield, Connecticut",810136
414,PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas",1525769
415,PLMR,"Palomar Holdings, Inc.",Financials,Property & Casualty Insurance,"La Jolla, California",1761312
416,PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,"Herndon, Virginia",1022408
417,PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,"Neenah, Wisconsin",785786
418,PMT,PennyMac Mortgage Investment Trust,Real Estate,Mortgage REITs,"Westlake Village, California",1464423
419,POWL,"Powell Industries, Inc.",Industrials,Electrical Components & Equipment,"Houston, Texas",80420
420,PPBI,"Pacific Premier Bancorp, Inc.",Financials,Regional Banks,"Irvine, California",1028918
421,PRA,ProAssurance Corporation,Financials,Property & Casualty Insurance,"Birmingham, Alabama",1127703
422,PRAA,"PRA Group, Inc.",Financials,Consumer Finance,"Norfolk, Virginia",1185348
423,PRDO,Perdoceo Education Corp.,Consumer Discretionary,Education Services,"Schaumburg, Illinois",1046568
424,PRG,"PROG Holdings, Inc.",Financials,Consumer Finance,"Draper, Utah",1808834
425,PRGS,Progress Software Corporation,Information Technology,Systems Software,"Burlington, Massachusetts",876167
426,PRK,Park National Corp.,Financials,Regional Banks,"Newark, Ohio",805676
427,PRLB,Protolabs,Industrials,Industrial Machinery,"Maple Plain, Minnesota",1443669
428,PRVA,"Privia Health Group, Inc.",Health Care,Health Care Services,"Arlington County, Virginia",1759655
429,PSMT,PriceSmart,Consumer Staples,Hypermarkets & Super Centers,"San Diego, California",1041803
430,PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,"Houston, Texas",889900
431,PTGX,"Protagonist Therapeutics, Inc.",Health Care,Biotechnology,"Newark, California",1377121
432,PUMP,ProPetro Holding Corp.,Energy,Oil & Gas Equipment & Services,"Midland, Texas",1680247
433,PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants,"Jeffersontown, Kentucky",901491
434,QDEL,QuidelOrtho,Health Care,Health Care Supplies,"San Diego, California",1906324
435,QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,"Foster City, California",1117297
436,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",1604778
437,RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,"San Francisco, California",733269
438,RC,Ready Capital Corp,Financials,Mortgage REITs,"New York City, New York",1527590
439,RCUS,"Arcus Biosciences, Inc.",Health Care,Biotechnology,"Hayward, California",1724521
440,RDN,"Radian Group, Inc.",Financials,Property & Casualty Insurance,"Philadelphia, Pennsylvania",890926
441,RDNT,"RadNet, Inc.",Health Care,Health Care Services,"Los Angeles, California",790526
442,RES,"RPC, Inc.",Energy,Oil & Gas Equipment & Services,"Atlanta, Georgia",742278
443,REX,REX American Resources Corporation,Energy,Oil & Gas Refining & Marketing,"Dayton, Ohio",744187
444,REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,"Scottsdale, Arizona",1740332
445,RGR,"Sturm, Ruger & Company, Inc.",Consumer Discretionary,Leisure Products,"Southport, Connecticut",95029
446,RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213
447,RHP,Ryman Hospitality Properties,Real Estate,Hotel & Resort REITs,"Nashville, Tennessee",1040829
448,RNST,Renasant Corp.,Financials,Regional Banks,"Tupelo, Mississippi",715072
449,ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,"Buffalo, New York",912562
450,ROG,Rogers Corporation,Information Technology,Electronic Components,"Chandler, Arizona",84748
451,RUN,Sunrun,Industrials,Building Products,"San Francisco, California",1469367
452,RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,"New Braunfels, Texas",1012019
453,RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs,"Mill Valley, California",930236
454,RXO,"RXO, Inc.",Industrials,Cargo Ground Transportation,"Charlotte, North Carolina",1929561
455,SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs,"New York City, New York",1095651
456,SABR,Sabre,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Southlake, Texas",1597033
457,SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,"Boston, Massachusetts",1172052
458,SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Charlotte, North Carolina",1043509
459,SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,"San Jose, California",897723
460,SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks,"Stuart, Florida",730708
461,SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,"Denton, Texas",1368458
462,SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks,"Tyler, Texas",705432
463,SCHL,Scholastic Corporation,Consumer Discretionary,Publishing,"New York City, New York",866729
464,SCL,Stepan Company,Materials,Specialty Chemicals,"Northfield, Illinois",94049
465,SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,"Greenville, South Carolina",918965
466,SCVL,"Shoe Carnival, Inc.",Consumer Discretionary,Apparel Retail,"Evansville, Indiana",895447
467,SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,"New York City, New York",1490978
468,SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel",1419612
469,SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina",1012100
470,SEM,"Select Medical Holdings, Corp.",Health Care,Health Care Facilities,"Mechanicsburg, Pennsylvania",1320414
471,SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks,"Birmingham, Alabama",1430723
472,SFNC,Simmons First National Corporation,Financials,Regional Banks,"Little Rock, Arkansas",90498
474,SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants,"New York City, New York",1620533
475,SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services,"Edinburg, Virginia",354963
476,SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs,"Aliso Viejo, California",1295810
477,SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear,"Long Island City, New York",913241
478,SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Akron, Ohio",832988
479,SITC,SITE Centers Corp.,Real Estate,Retail REITs,"Beachwood, Ohio",894315
480,SITM,SiTime,Information Technology,Semiconductors,"Santa Clara, California",1451809
481,SJW,SJW Group,Utilities,Water Utilities,"San Jose, California",766829
482,SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs,"Greensboro, North Carolina",899715
483,SKY,"Champion Homes, Inc.",Consumer Discretionary,Homebuilding,"Troy, Michigan",90896
484,SKYW,"SkyWest, Inc.",Industrials,Airlines,"St. George, Utah",793733
485,SLG,SL Green Realty,Real Estate,Office REITs,"New York City, New York",1040971
486,SLP,"Simulations Plus, Inc.",Health Care,Health Care Technology,"Lancaster, California",1023459
487,SLVM,Sylvamo Corp.,Materials,Paper Products,"Memphis, Tennessee",1856485
488,SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",893538
489,SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Long Island City, New York",93389
490,SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats,"Denver, Colorado",1702744
491,SMTC,Semtech Corporation,Information Technology,Semiconductors,"Camarillo, California",88941
492,SNCY,Sun Country Airlines,Industrials,Airlines,"Minneapolis, Minnesota",1743907
493,SNDK,SanDisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",2023554
494,SNDR,Schneider National,Industrials,Cargo Ground Transportation,"Green Bay, Wisconsin",1692063
495,SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage,"New York City, New York",913760
496,SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics,"Santa Barbara, California",1314727
497,SPNT,SiriusPoint Ltd.,Financials,Reinsurance,"New York City, New York",1576018
498,SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,"Minneapolis, Minnesota",1092699
499,SPTN,SpartanNash Company,Consumer Staples,Food Distributors,"Byron Center, Michigan",877422
500,SPXC,SPX Corporation,Industrials,Industrial Machinery,"Charlotte, North Carolina",88205
501,SSTK,"Shutterstock, Inc.",Communication Services,Interactive Media & Services,"New York City, New York",1549346
502,STAA,STAAR Surgical Company,Health Care,Health Care Equipment,"Monrovia, California",718937
503,STBA,"S&T Bancorp, Inc.",Financials,Regional Banks,"Indiana, Pennsylvania",719220
504,STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance,"Houston, Texas",94344
505,STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks,"Houston, Texas",1473844
506,STEP,StepStone Group,Financials,Asset Management & Custody Banks,"New York City, New York",1796022
507,STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",1013934
508,STRL,"Sterling Infrastructure, Inc.",Industrials,Construction & Engineering,"The Woodlands, Texas",874238
509,SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rockville, Maryland",1356576
510,SXC,"SunCoke Energy, Inc.",Materials,Steel,"Lisle, Illinois",1514705
511,SXI,Standex International Corporation,Industrials,Industrial Machinery,"Salem, New Hampshire",310354
512,SXT,Sensient Technologies,Materials,Specialty Chemicals,"Milwaukee, Wisconsin",310142
513,TALO,"Talos Energy, Inc.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",1724965
514,TBBK,"The Bancorp, Inc.",Financials,Regional Banks,"Wilmington, Delaware",1295401
515,TDC,Teradata,Information Technology,IT Consulting & Other Services,"San Diego, California",816761
516,TDS,"Telephone and Data Systems, Inc.",Communication Services,Integrated Telecommunication Services,"Chicago, Illinois",1051512
517,TDW,"Tidewater, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",98222
518,TFIN,"Triumph Bancorp, Inc.",Financials,Regional Banks,"Dallas, Texas",1539638
519,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",96943
520,TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,"Berwyn, Pennsylvania",1021162
521,TGNA,Tegna,Communication Services,Broadcasting,"Tysons, Virginia",39899
522,TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,"Morrisville, North Carolina",1001316
523,THRM,Gentherm Incorporated,Consumer Discretionary,Auto Parts & Equipment,"Farmington Hills, MI",903129
524,THRY,"Thryv Holdings, Inc.",Communication Services,Interactive Media & Services,"Dallas, Texas",1556739
525,THS,"TreeHouse Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Oak Brook, Illinois",1320695
526,TILE,"Interface, Inc.",Industrials,Office Services & Supplies,"Atlanta, Georgia",715787
527,TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment,"Andover, Massachusetts",1756262
528,TMP,Tompkins Financial Corporation,Financials,Regional Banks,"Ithaca, New York",1005817
529,TNC,Tennant Company,Industrials,Industrial Machinery,"Eden Prairie, Minnesota",97134
530,TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,"San Diego, California",1438133
531,TPH,"Tri Pointe Homes, Inc.",Consumer Discretionary,Homebuilding,"Incline Village, Nevada",1561680
532,TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",98677
533,TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Needham, Massachusetts",1526520
534,TRMK,Trustmark Corp.,Financials,Regional Banks,"Jackson, Mississippi",36146
535,TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Trucks,"Dallas, Texas",99780
536,TRNO,Terreno Realty Corporation,Real Estate,Industrial REITs,"San Francisco, California",1476150
537,TRST,TrustCo Bank Corp NY,Financials,Regional Banks,"Glenville, New York",357301
538,TRUP,Trupanion,Financials,Life & Health Insurance,"Seattle, Washington",1371285
539,TTGT,TechTarget,Communication Services,Interactive Media & Services,"Newton, Massachusetts",2018064
540,TTMI,"TTM Technologies, Inc.",Information Technology,Electronic Manufacturing Services,"Santa Ana, California",1116942
541,TWI,"Titan International, Inc.",Materials,Agricultural & Farm Machinery,"Quincy, Illinois",899751
542,TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs,"St. Louis Park, Minnesota",1465740
544,UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductor Equipment,"Hayward, California",1275014
545,UE,Urban Edge Properties,Real Estate,Retail REITs,"Paramus, New Jersey",1611547
546,UFCS,"United Fire Group, Inc.",Financials,Property & Casualty Insurance,"Cedar Rapids, Iowa",101199
547,UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment,"Newburyport, Massachusetts",914156
548,UHT,Universal Health Realty Income Trust,Real Estate,Health Care REITs,"King of Prussia, Pennsylvania",798783
549,UNF,UniFirst Corporation,Industrials,Diversified Support Services,"Wilmington, Massachusetts",717954
550,UNFI,United Natural Foods Inc,Consumer Staples,Food Retail,"Providence, Rhode Island",1020859
551,UNIT,Uniti Group,Real Estate,Specialized REITs,"Little Rock, Arkansas",1620280
552,UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail,"Plano, Texas",933036
553,URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",912615
554,USNA,"Usana Health Sciences, Inc.",Consumer Staples,Packaged Foods & Meats,"West Valley City, Utah",896264
555,USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,"Houston, Texas",885978
556,UTL,Unitil Corporation,Utilities,Electric Utilities,"Hampton, New Hampshire",755001
557,UVV,Universal Corporation,Consumer Staples,Tobacco,"Richmond, Virginia",102037
558,VBTX,"Veritex Holdings, Inc.",Financials,Regional Banks,"Dallas, Texas",1501570
559,VCEL,Vericel,Health Care,Biotechnology,"Cambridge, Massachusetts",887359
560,VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Equipment,"Plainview, New York",103145
561,VIAV,VIAVI Solutions,Information Technology,Communications Equipment,"Chandler, Arizona",912093
562,VICR,Vicor Corporation,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",751978
563,VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology,"San Francisco, California",1706431
564,VIRT,"Virtu Financial, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",1592386
565,VRE,"Veris Residential, Inc.",Real Estate,Office REITs,"Jersey City, New Jersey",924901
566,VRRM,Verra Mobility Corporation,Industrials,Data Processing & Outsourced Services,"Mesa, Arizona",1682745
567,VRTS,"Virtus Investment Partners, Inc.",Financials,Asset Management & Custody Banks,"Hartford, Connecticut",883237
568,VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,"Carlsbad, California",797721
569,VSCO,Victoria's Secret,Consumer Discretionary,Apparel Retail,"Reynoldsburg, Ohio",1856437
570,VSH,Vishay Intertechnology,Information Technology,Electronic Components,"Malvern, Pennsylvania",103730
571,VSTS,Vestis,Industrials,Diversified Support Services,"Roswell, Georgia",1967649
572,VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1525221
573,VTLE,"Vital Energy, Inc.",Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",1528129
575,VYX,NCR Voyix,Information Technology,IT Consulting & Other Services,"Atlanta, Georgia",70866
576,WABC,Westamerica Bank,Financials,Regional Banks,"San Rafael, California",311094
577,WAFD,"WaFd, Inc.",Financials,Regional Banks,"Seattle, Washington",936528
578,WD,"Walker & Dunlop, Inc.",Financials,Commercial & Residential Mortgage Finance,"Bethesda, Maryland",1497770
579,WDFC,WD-40 Company,Consumer Staples,Household Products,"San Diego, California",105132
580,WERN,Werner Enterprises,Industrials,Cargo Ground Transportation,"Omaha, Nebraska",793074
581,WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers,"Eden Prairie, Minnesota",107687
582,WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",1699136
583,WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,"Doral, Florida",789460
584,WLY,John Wiley & Sons,Communication Services,Publishing,"Hoboken, New Jersey",107140
585,WOLF,Wolfspeed,Information Technology,Semiconductors,"Research Triangle Park, North Carolina",895419
586,WOR,Worthington Enterprises,Industrials,Building Products,"Columbus, Ohio",108516
587,WRLD,World Acceptance Corporation,Financials,Consumer Finance,"Greenville, South Carolina",108385
588,WS,Worthington Steel,Materials,Steel,"Columbus, Ohio",1968487
589,WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies,"Phoenix, Arizona",1647088
590,WSFS,WSFS Financial Corporation,Financials,Regional Banks,"Wilmington, Delaware",828944
591,WSR,Whitestone REIT,Real Estate,Retail REITs,"Houston, Texas",1175535
592,WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",880631
593,WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,"Rockford, Michigan",110471
594,XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Orlando, Florida",1616000
595,XNCR,Xencor Inc,Health Care,Biotechnology,"Pasadena, California",1326732
596,XPEL,"XPEL, Inc.",Consumer Discretionary,Auto Parts & Equipment,"San Antonio, Texas",1767258
597,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",1770450
598,YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",1345016
599,YOU,"Clear Secure, Inc.",Information Technology,Application Software,"New York City, New York",1856314
600,ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",1084048
601,ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee, Wisconsin",1439288
