company_name,ticker,sector,sub_industry
Under Armour (Class A),UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Under Armour (Class C),UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Union Pacific Corporation,UNP,Industrials,Rail Transportation
United Airlines Holdings,UAL,Industrials,Passenger Airlines
United Parcel Service,UPS,Industrials,Air Freight & Logistics
United Rentals,URI,Industrials,Trading Companies & Distributors
United Therapeutics,UTHR,Health Care,Biotechnology
United Wholesale Mortgage,UWMC,Financials,unknown
UnitedHealth Group,UNH,Health Care,Managed Health Care
Unity Technologies,U,Information Technology,unknown
Universal Display Corporation,OLED,Information Technology,Semiconductors
Universal Health Services,UHS,Health Care,Health Care Facilities
Unum,UNM,Financials,Life & Health Insurance
US Foods,USFD,Consumer Staples,unknown
Vail Resorts,MTN,Consumer Discretionary,unknown
Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
Valmont Industries,VMI,Industrials,Industrial Machinery & Supplies & Components
Valvoline,VVV,Materials,Commodity Chemicals
Veeva Systems,VEEV,Health Care,unknown
"Ventas, Inc.",VTR,Real Estate,Health Care REITs
Veralto,VLTO,Industrials,unknown
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk Analytics,VRSK,Industrials,Research & Consulting Services
Verizon,VZ,Communication Services,Integrated Telecommunication Services
Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
Vertiv,VRT,Industrials,unknown
Vestis,VSTS,Consumer Discretionary,unknown
VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Viatris,VTRS,Health Care,Pharmaceuticals
Vici Properties,VICI,Real Estate,Hotel & Resort REITs
Viking Therapeutics,VKTX,Health Care,Biotechnology
Viper Energy,VNOM,Energy,Oil & Gas Storage & Transportation
Virtu Financial,VIRT,Financials,unknown
Visa Inc.,V,Financials,Transaction & Payment Processing Services
Vistra Corp.,VST,Utilities,unknown
Vontier,VNT,Information Technology,Electronic Equipment & Instruments
Vornado Realty Trust,VNO,Real Estate,Office REITs
Voya Financial,VOYA,Financials,Multi-Sector Holdings
Vulcan Materials,VMC,Materials,Construction Materials
W. P. Carey,WPC,Real Estate,unknown
W. R. Berkley Corporation,WRB,Financials,Property & Casualty Insurance
W. W. Grainger,GWW,Industrials,Industrial Machinery & Supplies & Components
Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Walmart,WMT,Consumer Staples,Consumer Staples Merchandise Retail
Walt Disney Company (The),DIS,Communication Services,Movies & Entertainment
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
"Waste Management, Inc.",WM,Industrials,Environmental & Facilities Services
Waters Corporation,WAT,Health Care,Health Care Distributors
Watsco,WSO,Industrials,Trading Companies & Distributors
Wayfair,W,Consumer Discretionary,unknown
Weatherford International,WFRD,Energy,Oil & Gas Equipment & Services
Webster Bank,WBS,Financials,Regional Banks
WEC Energy Group,WEC,Utilities,Electric Utilities
Wells Fargo,WFC,Financials,Diversified Banks
Welltower,WELL,Real Estate,Health Care REITs
Wendy's Company (The),WEN,Consumer Discretionary,Restaurants
Wesco International,WCC,Industrials,unknown
West Pharmaceutical Services,WST,Health Care,Health Care Supplies
Western Alliance Bancorporation,WAL,Financials,unknown
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
Western Union,WU,Information Technology,Data Processing & Outsourced Services
Westlake Corporation,WLK,Materials,unknown
WEX Inc.,WEX,Financials,Transaction & Payment Processing Services
Weyerhaeuser,WY,Real Estate,Timber REITs
Whirlpool Corporation,WHR,Consumer Discretionary,Household Appliances
White Mountains Insurance Group,WTM,Financials,unknown
Williams Companies,WMB,Energy,Oil & Gas Storage & Transportation
"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,Homefurnishing Retail
Willis Towers Watson,WTW,Financials,Insurance Brokers
WillScot Mobile Mini,WSC,Industrials,unknown
Wingstop,WING,Consumer Discretionary,unknown
Wintrust Financial,WTFC,Financials,Regional Banks
Wolfspeed,WOLF,Information Technology,Semiconductors
"Woodward, Inc.",WWD,Industrials,Electrical Components & Equipment
"Workday, Inc.",WDAY,Information Technology,Application Software
Wyndham Hotels & Resorts,WH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
Xcel Energy,XEL,Utilities,Multi-Utilities
XP Inc.,XP,Financials,Investment Banking & Brokerage
"XPO, Inc.",XPO,Industrials,Cargo Ground Transportation
Xylem Inc.,XYL,Industrials,Industrial Machinery & Supplies & Components
Yeti Holdings,YETI,Consumer Discretionary,Leisure Products
Yum! Brands,YUM,Consumer Discretionary,Restaurants
Zebra Technologies,ZBRA,Information Technology,Electronic Equipment & Instruments
Zillow (Class A),ZG,Real Estate,unknown
Zillow (Class C),Z,Real Estate,unknown
Zimmer Biomet,ZBH,Health Care,Health Care Equipment
Zions Bancorporation,ZION,Financials,Regional Banks
Zoetis,ZTS,Health Care,Pharmaceuticals
Zoom Communications,ZM,Information Technology,Application Software
ZoomInfo,ZI,Communication Services,unknown
Zscaler,ZS,Information Technology,Application Software
